warehouse_code,region_code,id,delivery_date,product_id,sku,name,supplier_id,price,quantity
BAQ,BAQ,8475266,9/8/2022,660,BAQ-FRU1-CAT1-111:277:659:660,Granadilla Estándar - Kg,61,5950,5
BAQ,BAQ,8554498,9/12/2022,660,BAQ-FRU1-CAT1-111:277:659:660,Granadilla Estándar - Kg,61,5950,8
BAQ,BAQ,8682054,9/19/2022,660,BAQ-FRU1-CAT1-111:277:659:660,Granadilla Estándar - Kg,61,7500,2
BAQ,BAQ,8715673,9/22/2022,660,BAQ-FRU1-CAT1-111:277:659:660,Granadilla Estándar - Kg,19,9000,6
BAQ,BAQ,8842178,9/29/2022,660,BAQ-FRU1-CAT1-111:277:659:660,Granadilla Estándar - Kg,61,7200,3
BAQ,BAQ,8901410,10/3/2022,660,BAQ-FRU1-CAT1-111:277:659:660,Granadilla Estándar - Kg,61,7200,1
BAQ,BAQ,8935715,10/6/2022,660,BAQ-FRU1-CAT1-111:277:659:660,Granadilla Estándar - Kg,61,7200,5
BAQ,BAQ,9044631,10/10/2022,660,BAQ-FRU1-CAT1-111:277:659:660,Granadilla Estándar - Kg,61,6750,8
BAQ,BAQ,9137967,10/13/2022,660,BAQ-FRU1-CAT1-111:277:659:660,Granadilla Estándar - Kg,61,7500,5
BAQ,BAQ,9088197,10/13/2022,660,BAQ-FRU1-CAT1-111:277:659:660,Granadilla Estándar - Kg,61,6750,5
BAQ,BAQ,9172931,10/17/2022,660,BAQ-FRU1-CAT1-111:277:659:660,Granadilla Estándar - Kg,19,7500,4
BAQ,BAQ,9213163,10/20/2022,660,BAQ-FRU1-CAT1-111:277:659:660,Granadilla Estándar - Kg,61,7500,4
BAQ,BAQ,9396163,10/31/2022,660,BAQ-FRU1-CAT1-111:277:659:660,Granadilla Estándar - Kg,9,7000,1
BAQ,BAQ,9504933,11/7/2022,660,BAQ-FRU1-CAT1-111:277:659:660,Granadilla Estándar - Kg,61,6900,10
BAQ,BAQ,9534555,11/10/2022,660,BAQ-FRU1-CAT1-111:277:659:660,Granadilla Estándar - Kg,61,6900,10
BAQ,BAQ,9645657,11/18/2022,660,BAQ-FRU1-CAT1-111:277:659:660,Granadilla Estándar - Kg,9,7000,14
BAQ,BAQ,9759008,11/24/2022,660,BAQ-FRU1-CAT1-111:277:659:660,Granadilla Estándar - Kg,9,7000,5
BAQ,BAQ,9860532,11/28/2022,660,BAQ-FRU1-CAT1-111:277:659:660,Granadilla Estándar - Kg,9,7000,17
